respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,age_group,education,income_poverty,sex
380,0,2,0,0,4,5,35 - 44 Years,12 Years,Below Poverty,Female
381,3,1,1,0,5,3,35 - 44 Years,<12 Years,Below Poverty,Male
382,1,2,1,1,3,1,55 - 64 Years,Some College,Below Poverty,Female
383,3,0,0,0,4,5,18 - 34 Years,College Graduate,Middle,Female
384,0,1,1,1,2,2,65+ Years,12 Years,Below Poverty,Female
385,0,0,0,0,4,1,45 - 54 Years,College Graduate,Middle,Female
386,3,2,0,1,1,4,18 - 34 Years,12 Years,Above Poverty,Female
387,2,2,0,1,1,3,45 - 54 Years,12 Years,Below Poverty,Female
388,2,2,0,0,5,1,65+ Years,12 Years,Middle,Female
389,0,0,1,1,5,1,55 - 64 Years,Some College,Above Poverty,Male
390,0,0,0,1,3,5,35 - 44 Years,<12 Years,Above Poverty,Male
391,2,0,1,0,4,5,35 - 44 Years,12 Years,Above Poverty,Female
392,2,0,1,1,1,5,55 - 64 Years,Some College,Middle,Female
393,3,2,1,1,5,4,18 - 34 Years,12 Years,Below Poverty,Female
394,3,2,1,1,4,5,18 - 34 Years,<12 Years,Below Poverty,Male
395,2,1,0,0,5,1,45 - 54 Years,12 Years,Middle,Male
396,3,1,1,0,5,5,55 - 64 Years,Some College,Below Poverty,Female
397,3,0,0,1,1,2,18 - 34 Years,<12 Years,Middle,Male
398,1,2,1,0,1,5,55 - 64 Years,Some College,Below Poverty,Female
399,3,2,1,1,5,4,65+ Years,<12 Years,Above Poverty,Female
400,0,2,0,1,2,2,35 - 44 Years,<12 Years,Below Poverty,Female
401,3,1,0,1,5,1,35 - 44 Years,College Graduate,Middle,Female
402,3,1,0,1,5,1,35 - 44 Years,College Graduate,Middle,Female
403,2,2,1,1,3,3,55 - 64 Years,College Graduate,Above Poverty,Female
404,0,2,1,0,3,2,55 - 64 Years,<12 Years,Middle,Female
405,3,2,0,1,3,3,45 - 54 Years,12 Years,Below Poverty,Male
406,3,1,0,0,2,2,35 - 44 Years,Some College,Below Poverty,Female
407,1,2,0,0,2,2,45 - 54 Years,Some College,Above Poverty,Male
408,3,2,0,1,5,4,35 - 44 Years,Some College,Middle,Female
409,3,0,1,1,3,3,45 - 54 Years,College Graduate,Above Poverty,Female
410,1,0,0,0,2,4,45 - 54 Years,<12 Years,Below Poverty,Male
411,2,1,0,0,1,2,65+ Years,College Graduate,Above Poverty,Male
412,3,2,0,0,5,1,45 - 54 Years,12 Years,Middle,Female
413,1,2,0,1,4,2,55 - 64 Years,<12 Years,Above Poverty,Male
414,0,0,1,0,5,4,45 - 54 Years,Some College,Middle,Female
415,2,1,0,1,4,3,35 - 44 Years,College Graduate,Middle,Female
416,0,0,1,1,3,3,45 - 54 Years,College Graduate,Below Poverty,Male
417,0,0,0,1,4,4,18 - 34 Years,12 Years,Below Poverty,Male
418,1,0,0,0,3,3,35 - 44 Years,12 Years,Below Poverty,Male
419,3,0,1,1,1,5,18 - 34 Years,College Graduate,Middle,Male
420,1,2,0,1,4,1,35 - 44 Years,12 Years,Above Poverty,Female
421,1,2,1,1,5,1,55 - 64 Years,Some College,Middle,Male
422,1,0,1,1,3,1,55 - 64 Years,12 Years,Below Poverty,Male
423,1,1,0,1,5,3,55 - 64 Years,12 Years,Below Poverty,Male
424,2,1,1,0,2,3,18 - 34 Years,College Graduate,Above Poverty,Male
425,3,1,1,1,3,2,65+ Years,College Graduate,Below Poverty,Male
426,0,1,1,1,4,2,35 - 44 Years,<12 Years,Below Poverty,Female
427,0,0,1,0,3,1,55 - 64 Years,<12 Years,Below Poverty,Female
428,3,2,1,1,5,5,35 - 44 Years,College Graduate,Above Poverty,Male
429,0,1,1,0,1,2,18 - 34 Years,12 Years,Middle,Male
430,3,0,1,1,3,2,65+ Years,12 Years,Below Poverty,Female
431,0,1,1,0,4,3,18 - 34 Years,<12 Years,Above Poverty,Male
432,1,1,0,0,2,5,35 - 44 Years,<12 Years,Below Poverty,Female
433,0,0,0,1,1,1,65+ Years,<12 Years,Above Poverty,Female
434,3,2,1,1,2,2,65+ Years,Some College,Below Poverty,Male
435,3,2,0,1,3,5,18 - 34 Years,Some College,Above Poverty,Female
436,3,0,1,0,5,5,55 - 64 Years,<12 Years,Below Poverty,Male
437,3,2,1,0,5,1,35 - 44 Years,12 Years,Middle,Male
438,3,0,0,0,4,5,45 - 54 Years,<12 Years,Below Poverty,Female
439,2,0,1,1,5,5,45 - 54 Years,Some College,Above Poverty,Female
440,2,0,1,0,1,5,18 - 34 Years,12 Years,Below Poverty,Male
441,0,2,1,0,5,2,35 - 44 Years,Some College,Middle,Female
442,3,0,1,1,4,1,35 - 44 Years,12 Years,Below Poverty,Male
443,0,1,0,0,3,5,18 - 34 Years,Some College,Above Poverty,Female
444,3,2,1,0,3,5,35 - 44 Years,12 Years,Above Poverty,Female
445,3,2,1,1,5,2,55 - 64 Years,12 Years,Middle,Male
446,2,2,1,0,2,1,18 - 34 Years,12 Years,Above Poverty,Male
447,2,2,0,1,3,3,55 - 64 Years,12 Years,Below Poverty,Male
448,1,1,1,1,5,2,35 - 44 Years,College Graduate,Below Poverty,Female
449,2,2,0,1,4,1,18 - 34 Years,Some College,Below Poverty,Male
450,1,2,0,1,5,5,35 - 44 Years,Some College,Above Poverty,Male
451,1,0,1,1,3,1,18 - 34 Years,College Graduate,Below Poverty,Female
452,1,2,1,0,4,1,35 - 44 Years,12 Years,Below Poverty,Female
453,1,1,0,0,5,1,55 - 64 Years,12 Years,Below Poverty,Male
454,1,1,1,1,1,3,55 - 64 Years,Some College,Middle,Male
455,0,1,0,1,4,1,35 - 44 Years,College Graduate,Above Poverty,Male
456,2,1,0,0,1,3,18 - 34 Years,12 Years,Above Poverty,Male
457,1,2,1,1,2,5,45 - 54 Years,12 Years,Above Poverty,Female
458,3,2,1,1,4,3,55 - 64 Years,12 Years,Middle,Female
459,2,1,0,1,1,5,55 - 64 Years,<12 Years,Above Poverty,Male
460,2,1,0,0,3,5,45 - 54 Years,College Graduate,Middle,Male
461,1,2,0,0,3,3,35 - 44 Years,12 Years,Middle,Male
462,0,1,0,1,2,2,18 - 34 Years,<12 Years,Above Poverty,Female
463,1,0,1,1,4,4,35 - 44 Years,College Graduate,Below Poverty,Male
464,0,1,1,0,4,1,65+ Years,12 Years,Below Poverty,Male
465,3,1,1,0,4,4,55 - 64 Years,Some College,Above Poverty,Female
466,2,0,1,1,2,1,65+ Years,<12 Years,Above Poverty,Female
467,3,0,1,1,4,1,55 - 64 Years,<12 Years,Middle,Male
468,0,2,0,0,3,5,55 - 64 Years,12 Years,Above Poverty,Male
469,0,2,1,0,1,1,65+ Years,12 Years,Middle,Female
470,3,0,1,0,3,1,65+ Years,<12 Years,Above Poverty,Male
471,0,0,1,1,3,3,35 - 44 Years,Some College,Below Poverty,Male
472,3,2,1,0,1,4,65+ Years,Some College,Below Poverty,Female
473,2,1,1,1,3,3,35 - 44 Years,College Graduate,Above Poverty,Female
474,3,0,0,0,2,1,35 - 44 Years,12 Years,Middle,Female
475,2,2,0,0,1,5,35 - 44 Years,Some College,Below Poverty,Male
476,3,1,0,0,3,3,55 - 64 Years,College Graduate,Middle,Female
477,0,0,1,0,5,3,55 - 64 Years,Some College,Above Poverty,Female
478,3,1,0,1,3,2,65+ Years,12 Years,Above Poverty,Male
479,0,2,0,1,2,1,55 - 64 Years,College Graduate,Below Poverty,Male
480,3,0,1,0,4,5,65+ Years,College Graduate,Above Poverty,Female
481,3,1,1,1,3,3,55 - 64 Years,College Graduate,Below Poverty,Female
482,1,0,1,0,4,3,18 - 34 Years,Some College,Middle,Male
483,0,1,0,0,5,5,18 - 34 Years,12 Years,Below Poverty,Male
484,1,2,0,0,3,1,65+ Years,College Graduate,Below Poverty,Female
485,0,2,1,0,1,2,55 - 64 Years,<12 Years,Middle,Female
486,1,0,1,1,4,3,55 - 64 Years,12 Years,Below Poverty,Male
487,2,1,0,0,5,2,35 - 44 Years,<12 Years,Below Poverty,Female
488,3,0,0,0,1,4,45 - 54 Years,<12 Years,Above Poverty,Male
489,0,0,1,1,1,1,65+ Years,College Graduate,Middle,Female
490,0,1,1,0,1,4,45 - 54 Years,College Graduate,Below Poverty,Male
491,3,1,0,0,1,4,45 - 54 Years,Some College,Middle,Male
492,0,1,1,0,3,4,65+ Years,Some College,Middle,Female
493,0,2,0,1,3,1,55 - 64 Years,Some College,Below Poverty,Female
494,1,0,0,0,3,1,65+ Years,12 Years,Above Poverty,Male
495,0,0,0,1,5,5,45 - 54 Years,Some College,Middle,Female
496,2,2,0,0,5,2,55 - 64 Years,<12 Years,Below Poverty,Female
497,2,1,1,0,5,2,18 - 34 Years,Some College,Middle,Female
498,3,2,1,1,2,5,65+ Years,College Graduate,Above Poverty,Male
499,0,2,0,0,5,5,65+ Years,Some College,Above Poverty,Female
500,3,2,0,0,3,4,55 - 64 Years,12 Years,Above Poverty,Female
501,2,0,0,1,3,5,18 - 34 Years,12 Years,Below Poverty,Male
502,0,2,0,1,2,3,18 - 34 Years,<12 Years,Below Poverty,Female
503,0,0,0,1,2,2,55 - 64 Years,12 Years,Above Poverty,Female
504,3,0,1,1,5,5,35 - 44 Years,Some College,Below Poverty,Male
505,2,0,1,1,4,3,65+ Years,College Graduate,Above Poverty,Male
506,0,1,1,0,2,3,65+ Years,12 Years,Below Poverty,Female
507,3,0,1,1,1,3,45 - 54 Years,<12 Years,Above Poverty,Female
508,2,0,0,0,3,3,55 - 64 Years,Some College,Middle,Male
509,3,1,0,0,1,4,45 - 54 Years,<12 Years,Above Poverty,Male
510,1,0,0,0,3,3,45 - 54 Years,12 Years,Above Poverty,Female
511,0,2,0,1,3,4,18 - 34 Years,12 Years,Below Poverty,Female
512,1,2,0,1,2,4,65+ Years,<12 Years,Below Poverty,Female
513,2,0,1,0,2,3,45 - 54 Years,Some College,Below Poverty,Male
514,1,1,0,1,1,2,18 - 34 Years,12 Years,Below Poverty,Female
515,1,2,1,1,3,3,55 - 64 Years,College Graduate,Below Poverty,Male
516,2,1,1,1,1,3,45 - 54 Years,12 Years,Below Poverty,Male
517,3,1,1,1,4,3,65+ Years,Some College,Middle,Male
518,1,2,1,0,1,2,45 - 54 Years,12 Years,Above Poverty,Female
519,3,1,0,0,5,1,55 - 64 Years,<12 Years,Above Poverty,Female
520,1,2,1,1,1,1,45 - 54 Years,12 Years,Above Poverty,Female
521,3,1,1,0,5,4,65+ Years,12 Years,Middle,Male
522,2,2,1,1,5,4,18 - 34 Years,Some College,Above Poverty,Female
523,1,0,0,1,5,2,65+ Years,<12 Years,Middle,Male
524,2,2,0,0,4,5,18 - 34 Years,Some College,Middle,Male
525,1,2,0,0,1,1,35 - 44 Years,12 Years,Middle,Male
526,2,2,1,0,1,4,65+ Years,College Graduate,Above Poverty,Male
527,2,2,1,1,4,1,65+ Years,12 Years,Middle,Male
528,1,1,0,0,3,2,55 - 64 Years,Some College,Above Poverty,Male
529,1,0,1,1,2,2,45 - 54 Years,College Graduate,Above Poverty,Female
530,1,2,0,0,1,5,18 - 34 Years,Some College,Below Poverty,Male
531,0,1,0,0,2,5,18 - 34 Years,Some College,Below Poverty,Female
532,3,0,1,1,4,2,55 - 64 Years,<12 Years,Middle,Male
533,0,0,1,1,3,4,55 - 64 Years,College Graduate,Middle,Female
534,0,0,1,1,3,1,45 - 54 Years,12 Years,Above Poverty,Female
535,2,0,1,1,3,3,45 - 54 Years,Some College,Middle,Female
536,1,2,0,1,4,5,65+ Years,12 Years,Middle,Female
537,3,2,0,1,5,3,35 - 44 Years,<12 Years,Above Poverty,Male
538,2,1,0,1,5,4,45 - 54 Years,<12 Years,Middle,Male
539,0,1,0,1,2,5,55 - 64 Years,College Graduate,Middle,Male
540,1,1,0,0,5,3,45 - 54 Years,<12 Years,Above Poverty,Male
541,2,0,1,1,5,4,18 - 34 Years,<12 Years,Above Poverty,Female
542,1,0,0,1,3,1,35 - 44 Years,12 Years,Below Poverty,Female
543,2,2,0,0,3,4,65+ Years,<12 Years,Above Poverty,Female
544,1,0,0,1,2,5,18 - 34 Years,<12 Years,Below Poverty,Male
545,0,0,1,0,1,2,18 - 34 Years,Some College,Middle,Female
546,3,0,1,0,2,1,35 - 44 Years,<12 Years,Above Poverty,Male
547,0,1,1,1,2,3,65+ Years,Some College,Above Poverty,Female
548,3,1,1,0,4,5,55 - 64 Years,<12 Years,Above Poverty,Female
549,1,2,0,1,4,2,65+ Years,<12 Years,Middle,Female
550,2,0,0,0,2,4,45 - 54 Years,College Graduate,Below Poverty,Female
551,0,0,1,0,2,2,18 - 34 Years,College Graduate,Middle,Female
552,3,2,1,0,2,5,45 - 54 Years,Some College,Middle,Male
553,0,0,0,1,5,5,55 - 64 Years,<12 Years,Above Poverty,Female
554,3,0,0,1,4,2,45 - 54 Years,12 Years,Below Poverty,Male
555,0,1,1,0,2,4,65+ Years,College Graduate,Middle,Male
556,3,2,1,0,3,2,45 - 54 Years,12 Years,Above Poverty,Male
557,3,2,1,1,3,5,55 - 64 Years,College Graduate,Middle,Male
558,1,2,1,1,5,5,55 - 64 Years,College Graduate,Middle,Male
559,3,2,0,0,5,3,55 - 64 Years,<12 Years,Above Poverty,Male
560,1,1,0,0,1,3,65+ Years,College Graduate,Above Poverty,Male
561,3,1,0,1,1,1,55 - 64 Years,12 Years,Below Poverty,Male
562,2,0,1,1,1,5,18 - 34 Years,College Graduate,Middle,Female
563,2,0,1,1,5,3,55 - 64 Years,Some College,Above Poverty,Female
564,2,0,0,1,5,2,45 - 54 Years,<12 Years,Above Poverty,Male
565,3,0,0,1,5,4,45 - 54 Years,<12 Years,Below Poverty,Male
566,1,1,0,0,3,2,45 - 54 Years,Some College,Below Poverty,Male
567,1,2,0,1,5,4,65+ Years,Some College,Above Poverty,Female
568,3,1,1,0,3,3,45 - 54 Years,Some College,Below Poverty,Female
569,2,0,0,1,1,1,65+ Years,College Graduate,Above Poverty,Male
570,2,1,0,0,1,2,65+ Years,<12 Years,Middle,Male
571,1,2,0,1,1,2,55 - 64 Years,Some College,Below Poverty,Female
572,2,2,0,1,2,2,18 - 34 Years,College Graduate,Middle,Female
573,0,1,0,0,2,4,55 - 64 Years,Some College,Middle,Male
574,1,1,0,0,4,3,55 - 64 Years,12 Years,Middle,Male
575,2,1,0,1,4,2,65+ Years,12 Years,Above Poverty,Male
576,1,0,1,1,4,2,65+ Years,<12 Years,Middle,Male
577,0,1,1,1,2,1,45 - 54 Years,College Graduate,Middle,Female
578,1,1,1,1,2,1,45 - 54 Years,12 Years,Middle,Female
579,1,1,1,1,4,3,55 - 64 Years,12 Years,Above Poverty,Male
580,1,2,0,0,4,3,35 - 44 Years,College Graduate,Middle,Male
581,1,2,1,0,5,5,35 - 44 Years,Some College,Middle,Male
582,0,0,1,1,4,1,45 - 54 Years,College Graduate,Below Poverty,Female
583,3,0,0,0,5,5,35 - 44 Years,Some College,Above Poverty,Male
584,1,2,0,0,3,4,45 - 54 Years,12 Years,Middle,Male
585,1,2,1,0,2,5,65+ Years,12 Years,Below Poverty,Male
586,2,2,1,1,4,2,55 - 64 Years,12 Years,Above Poverty,Female
587,1,1,0,0,2,5,18 - 34 Years,<12 Years,Above Poverty,Male
588,2,1,1,1,2,3,55 - 64 Years,<12 Years,Above Poverty,Female
589,3,2,0,0,2,4,45 - 54 Years,<12 Years,Above Poverty,Male
590,0,1,0,1,3,2,45 - 54 Years,College Graduate,Above Poverty,Male
591,0,1,0,0,1,5,55 - 64 Years,12 Years,Above Poverty,Male
592,3,0,0,1,4,4,45 - 54 Years,12 Years,Middle,Female
593,0,2,1,1,1,4,35 - 44 Years,College Graduate,Middle,Male
594,3,2,0,0,1,2,35 - 44 Years,<12 Years,Middle,Male
595,3,1,0,1,1,5,45 - 54 Years,College Graduate,Middle,Female
596,3,2,1,1,2,4,45 - 54 Years,<12 Years,Below Poverty,Female
597,0,0,0,1,5,4,35 - 44 Years,12 Years,Middle,Female
598,2,0,1,1,2,1,45 - 54 Years,Some College,Above Poverty,Male
599,3,0,1,1,2,4,45 - 54 Years,<12 Years,Middle,Female
600,1,2,1,1,1,1,55 - 64 Years,12 Years,Middle,Male
601,0,2,0,1,2,5,18 - 34 Years,12 Years,Above Poverty,Female
602,3,2,1,1,1,5,35 - 44 Years,Some College,Middle,Female
603,3,2,1,0,5,5,55 - 64 Years,12 Years,Middle,Female
604,1,2,0,0,4,3,18 - 34 Years,12 Years,Middle,Male
605,2,0,1,1,1,5,45 - 54 Years,<12 Years,Below Poverty,Male
606,2,1,1,1,5,4,45 - 54 Years,<12 Years,Middle,Male
607,2,0,1,0,4,2,55 - 64 Years,Some College,Above Poverty,Male
608,3,2,1,0,3,1,45 - 54 Years,Some College,Above Poverty,Male
609,3,0,1,0,1,3,65+ Years,12 Years,Middle,Male
610,3,2,0,1,1,5,55 - 64 Years,<12 Years,Middle,Male
611,0,2,1,0,3,5,18 - 34 Years,Some College,Middle,Male
612,1,0,1,1,3,2,55 - 64 Years,Some College,Above Poverty,Male
613,3,2,0,1,1,2,35 - 44 Years,College Graduate,Above Poverty,Female
614,1,1,0,0,3,3,55 - 64 Years,Some College,Below Poverty,Female
615,1,2,0,1,2,1,45 - 54 Years,12 Years,Below Poverty,Male
616,2,1,1,1,4,5,45 - 54 Years,<12 Years,Below Poverty,Male
617,0,1,0,1,4,3,65+ Years,Some College,Above Poverty,Male
618,3,2,1,1,4,4,65+ Years,College Graduate,Below Poverty,Male
619,2,0,1,0,2,4,65+ Years,<12 Years,Middle,Female
620,2,1,0,0,3,3,18 - 34 Years,Some College,Middle,Female
621,3,0,0,1,5,5,65+ Years,College Graduate,Above Poverty,Male
622,1,1,1,1,3,3,18 - 34 Years,Some College,Below Poverty,Female
623,2,2,0,0,1,5,65+ Years,<12 Years,Middle,Female
624,1,2,1,1,4,2,18 - 34 Years,<12 Years,Above Poverty,Male
625,0,1,0,0,3,3,55 - 64 Years,<12 Years,Below Poverty,Male
626,1,2,0,1,5,5,55 - 64 Years,12 Years,Middle,Male
627,0,1,0,1,1,3,45 - 54 Years,Some College,Below Poverty,Male
628,1,2,1,0,2,3,18 - 34 Years,12 Years,Above Poverty,Female
629,2,0,0,0,2,5,35 - 44 Years,<12 Years,Below Poverty,Male
630,2,2,1,0,5,5,45 - 54 Years,College Graduate,Above Poverty,Female
631,0,0,1,0,1,1,55 - 64 Years,Some College,Below Poverty,Male
632,3,2,1,1,4,3,18 - 34 Years,12 Years,Middle,Female
633,0,0,1,0,3,4,65+ Years,Some College,Above Poverty,Male
634,0,2,0,1,1,3,35 - 44 Years,College Graduate,Above Poverty,Male
635,1,0,1,0,2,3,55 - 64 Years,12 Years,Above Poverty,Female
636,1,1,1,0,5,5,45 - 54 Years,<12 Years,Below Poverty,Female
637,0,1,0,1,5,3,18 - 34 Years,12 Years,Below Poverty,Female
638,2,0,1,0,3,3,35 - 44 Years,Some College,Middle,Male
639,1,2,0,0,5,4,18 - 34 Years,Some College,Above Poverty,Female
640,3,0,1,0,5,5,65+ Years,Some College,Above Poverty,Female
641,1,2,0,0,1,3,45 - 54 Years,Some College,Below Poverty,Female
642,1,1,1,1,4,2,18 - 34 Years,<12 Years,Below Poverty,Female
643,3,2,0,1,3,1,55 - 64 Years,12 Years,Middle,Female
644,0,1,1,0,1,4,45 - 54 Years,<12 Years,Middle,Female
645,3,2,1,0,4,3,55 - 64 Years,<12 Years,Below Poverty,Female
646,0,2,0,0,1,2,18 - 34 Years,<12 Years,Above Poverty,Female
647,0,2,0,1,1,3,45 - 54 Years,Some College,Middle,Female
648,0,0,0,1,5,3,55 - 64 Years,Some College,Below Poverty,Male
649,3,0,0,1,4,5,65+ Years,Some College,Below Poverty,Male
650,0,1,1,1,3,5,65+ Years,12 Years,Above Poverty,Female
651,2,1,1,0,3,5,18 - 34 Years,College Graduate,Below Poverty,Male
652,3,0,0,0,4,2,45 - 54 Years,Some College,Below Poverty,Male
653,2,1,1,0,5,3,35 - 44 Years,12 Years,Middle,Female
654,0,0,0,1,2,1,45 - 54 Years,Some College,Below Poverty,Female
655,1,2,0,0,1,4,65+ Years,Some College,Below Poverty,Female
656,0,1,1,1,5,5,55 - 64 Years,<12 Years,Middle,Female
657,2,1,1,1,4,5,35 - 44 Years,<12 Years,Above Poverty,Female
658,2,0,1,0,1,3,18 - 34 Years,<12 Years,Above Poverty,Female
659,3,1,1,0,3,3,35 - 44 Years,12 Years,Middle,Male
660,1,1,1,0,2,2,18 - 34 Years,College Graduate,Middle,Female
661,3,2,1,1,3,2,35 - 44 Years,College Graduate,Above Poverty,Male
662,2,1,1,1,4,5,18 - 34 Years,12 Years,Above Poverty,Female
663,0,2,0,0,1,3,18 - 34 Years,Some College,Above Poverty,Female
664,1,0,0,0,4,1,35 - 44 Years,12 Years,Above Poverty,Male
665,0,1,0,1,1,4,35 - 44 Years,Some College,Above Poverty,Female
666,0,2,0,0,5,3,18 - 34 Years,12 Years,Middle,Female
667,1,0,0,1,2,3,65+ Years,12 Years,Below Poverty,Male
668,3,1,1,1,5,2,35 - 44 Years,12 Years,Above Poverty,Female
669,0,0,0,0,5,4,45 - 54 Years,College Graduate,Above Poverty,Male
670,2,1,0,0,4,5,55 - 64 Years,<12 Years,Below Poverty,Female
671,0,0,0,0,2,3,18 - 34 Years,12 Years,Below Poverty,Female
672,1,0,0,0,1,5,18 - 34 Years,College Graduate,Below Poverty,Male
673,1,2,0,1,1,3,55 - 64 Years,<12 Years,Below Poverty,Female
674,1,0,0,1,3,5,65+ Years,<12 Years,Below Poverty,Male
675,3,1,0,1,1,4,55 - 64 Years,12 Years,Below Poverty,Male
676,0,1,1,0,4,2,35 - 44 Years,Some College,Middle,Male
677,3,2,1,1,5,4,55 - 64 Years,Some College,Below Poverty,Female
678,3,1,0,0,5,1,18 - 34 Years,Some College,Below Poverty,Female
679,1,1,1,0,5,2,55 - 64 Years,12 Years,Middle,Male
680,1,1,1,0,2,4,45 - 54 Years,Some College,Below Poverty,Female
681,3,0,1,0,1,1,35 - 44 Years,College Graduate,Above Poverty,Female
682,0,0,1,0,4,3,55 - 64 Years,College Graduate,Above Poverty,Female
683,2,1,0,0,2,3,18 - 34 Years,College Graduate,Below Poverty,Male
684,3,2,1,1,3,5,35 - 44 Years,College Graduate,Middle,Female
685,0,0,1,0,4,2,18 - 34 Years,<12 Years,Above Poverty,Male
686,1,2,1,1,4,3,65+ Years,College Graduate,Middle,Female
687,1,1,0,1,4,2,45 - 54 Years,Some College,Above Poverty,Female
688,0,1,0,0,5,3,65+ Years,12 Years,Below Poverty,Male
689,2,0,0,0,4,5,45 - 54 Years,Some College,Middle,Female
690,1,1,0,0,1,4,55 - 64 Years,College Graduate,Middle,Male
691,1,0,0,1,4,5,35 - 44 Years,<12 Years,Middle,Female
692,1,1,0,0,5,1,55 - 64 Years,College Graduate,Above Poverty,Male
693,0,1,0,1,4,3,45 - 54 Years,12 Years,Above Poverty,Female
694,3,0,1,0,3,1,45 - 54 Years,Some College,Above Poverty,Female
695,1,0,1,0,3,1,45 - 54 Years,12 Years,Below Poverty,Female
696,3,0,1,1,5,2,18 - 34 Years,12 Years,Above Poverty,Male
697,2,1,0,1,1,3,35 - 44 Years,12 Years,Below Poverty,Male
698,1,1,0,0,1,1,55 - 64 Years,Some College,Middle,Male
699,1,2,0,1,2,4,55 - 64 Years,College Graduate,Middle,Female
700,2,0,0,1,5,1,65+ Years,12 Years,Below Poverty,Male
701,1,1,0,1,4,4,45 - 54 Years,Some College,Above Poverty,Male
702,3,1,1,1,5,2,45 - 54 Years,<12 Years,Below Poverty,Male
703,0,0,1,1,2,1,45 - 54 Years,Some College,Middle,Male
704,3,2,0,0,5,5,55 - 64 Years,<12 Years,Middle,Male
705,0,0,0,0,5,2,65+ Years,Some College,Below Poverty,Male
706,0,2,0,1,2,4,18 - 34 Years,College Graduate,Above Poverty,Male
707,3,1,0,0,1,2,35 - 44 Years,12 Years,Above Poverty,Male
708,3,2,1,0,4,1,18 - 34 Years,College Graduate,Below Poverty,Male
709,3,1,0,1,2,3,55 - 64 Years,Some College,Below Poverty,Male
710,3,0,0,0,3,3,45 - 54 Years,12 Years,Above Poverty,Female
711,2,0,0,1,1,4,35 - 44 Years,<12 Years,Middle,Female
712,1,0,0,1,3,4,55 - 64 Years,Some College,Below Poverty,Male
713,0,2,1,0,1,3,55 - 64 Years,12 Years,Above Poverty,Female
714,3,1,0,1,4,4,55 - 64 Years,<12 Years,Above Poverty,Female
715,3,0,0,1,4,2,35 - 44 Years,<12 Years,Middle,Male
716,3,0,1,1,5,5,35 - 44 Years,College Graduate,Middle,Male
717,2,1,1,1,3,5,65+ Years,Some College,Middle,Male
718,3,0,1,1,1,2,65+ Years,<12 Years,Middle,Female
719,3,1,0,0,4,5,18 - 34 Years,12 Years,Middle,Male
720,3,1,0,0,2,1,35 - 44 Years,<12 Years,Below Poverty,Female
721,1,1,1,1,4,2,35 - 44 Years,<12 Years,Above Poverty,Male
722,2,1,1,1,2,4,35 - 44 Years,College Graduate,Below Poverty,Female
723,3,1,1,0,1,2,65+ Years,College Graduate,Below Poverty,Female
724,0,2,1,1,4,3,55 - 64 Years,12 Years,Below Poverty,Male
725,0,0,1,0,4,4,45 - 54 Years,College Graduate,Below Poverty,Male
726,0,2,1,1,1,3,65+ Years,<12 Years,Below Poverty,Female
727,2,0,0,1,4,4,35 - 44 Years,<12 Years,Middle,Female
728,2,2,0,1,2,5,65+ Years,College Graduate,Middle,Male
729,0,1,0,1,4,2,18 - 34 Years,<12 Years,Above Poverty,Male
730,3,0,1,1,3,1,35 - 44 Years,<12 Years,Below Poverty,Female
731,2,0,1,1,5,4,18 - 34 Years,12 Years,Above Poverty,Male
732,0,2,1,1,2,4,35 - 44 Years,College Graduate,Middle,Female
733,0,2,1,0,3,3,65+ Years,<12 Years,Middle,Male
734,3,0,1,0,1,5,55 - 64 Years,College Graduate,Middle,Male
735,1,2,1,0,2,3,45 - 54 Years,12 Years,Below Poverty,Male
736,2,2,0,1,5,3,18 - 34 Years,College Graduate,Below Poverty,Female
737,3,2,0,1,5,5,65+ Years,<12 Years,Middle,Male
738,0,1,1,1,1,1,55 - 64 Years,College Graduate,Above Poverty,Female
739,0,1,0,1,1,3,65+ Years,<12 Years,Above Poverty,Male
740,3,2,1,1,2,3,18 - 34 Years,<12 Years,Middle,Female
741,2,2,0,1,4,4,45 - 54 Years,<12 Years,Above Poverty,Female
742,1,1,1,1,1,5,65+ Years,12 Years,Middle,Male
743,1,1,1,0,4,2,35 - 44 Years,College Graduate,Above Poverty,Female
744,0,0,0,1,3,1,55 - 64 Years,12 Years,Middle,Female
745,2,0,0,0,5,1,65+ Years,College Graduate,Above Poverty,Female
746,1,1,1,0,4,5,55 - 64 Years,12 Years,Below Poverty,Female
747,2,2,1,1,5,4,35 - 44 Years,Some College,Middle,Male
748,2,2,0,1,4,4,45 - 54 Years,<12 Years,Middle,Male
749,0,2,0,0,3,5,45 - 54 Years,<12 Years,Above Poverty,Male
750,1,2,1,0,1,4,35 - 44 Years,12 Years,Middle,Female
751,3,0,0,1,3,1,55 - 64 Years,Some College,Middle,Female
752,0,1,1,1,1,1,65+ Years,<12 Years,Middle,Male
753,1,2,1,0,1,2,35 - 44 Years,College Graduate,Below Poverty,Male
754,1,0,1,1,5,5,18 - 34 Years,12 Years,Below Poverty,Female
755,1,2,1,1,3,3,55 - 64 Years,<12 Years,Above Poverty,Male
756,1,1,0,1,4,3,45 - 54 Years,<12 Years,Below Poverty,Male
757,1,0,0,0,3,2,35 - 44 Years,12 Years,Above Poverty,Female
758,2,1,0,0,5,2,45 - 54 Years,12 Years,Below Poverty,Male
